Player,Number of CL titles*,Clubs
Paco Gento,6,Real Madrid
Cristiano Ronaldo,5,"Man Utd, Real Madrid"
Alessandro Costacurta,5,AC Milan
Paolo Maldini,5,AC Milan
Hector Rial,5,Real Madrid
Marquitos,5,Real Madrid
Lesmes II,5,Real Madrid
Enrique Mateos,5,Real Madrid
Alfredo di Stefano,5,Real Madrid
Jose Maria Zarraga,5,Real Madrid
Gareth Bale,5,Real Madrid
Nacho,5,Real Madrid
Daniel Carvajal,5,Real Madrid
Isco,5,Real Madrid
Luka Modric,5,Real Madrid
Marcelo,5,Real Madrid
Casemiro,5,Real Madrid
Karim Benzema,5,Real Madrid
Toni Kroos,5,Real Madrid
Clarence Seedorf,4,"Ajax, Real Madrid, AC Milan"
Raphael Varane,4,Real Madrid
Sergio Ramos,4,Real Madrid
Gerard Pique,4,"Man Utd, Barcelona"
Andres Iniesta,4,Barcelona
Xavi,4,Barcelona
Lionel Messi,4,Barcelona
Joseito,4,Real Madrid
Phil Neal,4,Liverpool
Jose Santamaría,4,Real Madrid
Juan Santisteban,4,Real Madrid
Juanito Alonso,4,Real Madrid
Samuel Eto'o,4,"Barcelona, Inter, Real Madrid"
Mateo Kovacic,4,"Real Madrid, Chelsea"
Lucas Vazquez,4,Real Madrid
Kiko Casilla,3,Real Madrid
Keylor Navas,3,Real Madrid
Pepe,3,Real Madrid
Dani Alves,3,Barcelona
Sergio Busquets,3,Barcelona
Pedro,3,Barcelona
Iker Casillas,3,Real Madrid
Victor Valdes,3,Barcelona
Carles Puyol,3,Barcelona
Fernando Redondo,3,"AC Milan, Real Madrid"
Guti,3,Real Madrid
Fernando Morientes,3,Real Madrid
Roberto Carlos,3,Real Madrid
Savio,3,Real Madrid
Aitor Karanka,3,Real Madrid
Fernando Hierro,3,Real Madrid
Raul,3,Real Madrid
Frank Rijkaard,3,"Ajax, AC Milan"
Franco Baresi,3,AC Milan
Filippo Galli,3,AC Milan
Roberto Donadoni,3,AC Milan
Demetrio Albertini,3,AC Milan
Mauro Tassotti,3,AC Milan
Alan Hansen,3,Liverpool
Kenny Dalglish,3,Liverpool
Graeme Souness,3,Liverpool
Steve Heighway,3,Liverpool
Ray Clemence,3,Liverpool
David Johnson,3,Liverpool
Ray Kennedy,3,Liverpool
Phil Thompson,3,Liverpool
David Fairclough,3,Liverpool
Jimmy Case,3,Liverpool
Terry McDermott,3,Liverpool
Gerd Muller,3,Bayern Munich
Rainer Zobel,3,Bayern Munich
Hans-Josef Kapellmann,3,Bayern Munich
Franz Roth,3,Bayern Munich
Franz Beckenbauer,3,Bayern Munich
Conny Torstensson,3,Bayern Munich
Sepp Maier,3,Bayern Munich
Wim Suurbier,3,Ajax
Sjak Swart,3,Ajax
Johan Neeskens,3,Ajax
Gerrie Muhren,3,Ajax
Piet Keizer,3,Ajax
Johan Cruyff,3,Ajax
Arie Hann,3,Ajax
Ruud Krol,3,Ajax
Horst Blankenburg,3,Ajax
Barry Hulshoff,3,Ajax
Heinz Stuy,3,Ajax
Ferenc Puskas,3,Real Madrid
Rogelio Dominguez,3,Real Madrid
Raymond Kopa,3,Real Madrid
Miguel Munoz,3,Real Madrid
Ramon Marsal,3,Real Madrid
Atienza II,3,Real Madrid
